"Submission Date",Cinsiyet,"Yan haklarınız","Şirketiniz hangi lokasyon merkezli?","Şirketiniz hangi şehirde? (Eğer Türkiye ise)","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Hangi pozisyonda çalışıyorsunuz?","Seviyeniz nedir?",Deneyim,"Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?","Kazancınız hangi para biriminde?","Maaş tipi","Ara zam / iyileştirme aldıysanız oranı hangi aralıkta?","Maaş / Aylık Türk Lirası cinsinden"
"Ağu 5, 2023",Kadın,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,1-50,"Team Lead",Mid,"1-3 Yıl","C# / .NET Framework
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
No-code / Low-code Araçları
SQL","Türk Lirası",Net,%36-%50,"20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Emeklilik planlama hizmetleri",Türkiye,"06 Ankara",Remote,"10.000 ve üzeri","Backend Developer / Engineer",Senior,"5-9 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kotlin
Kubernetes
Microsoft Office Araçları
NoSQL
SQL","Türk Lirası",Brüt,%21-%35,"85.001 TL - 100.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"33 İçel (Mersin)",Remote,151-300,"Mobile Developer(Cross Platform)",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%36-%50,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,301-600,"Backend Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
ChatGPT","Türk Lirası",Net,%36-%50,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Remote,1-50,"Mobile Developer(Cross Platform)",Senior,"3-5 Yıl","ChatGPT
Figma / XD ve diğer tasarım araçları
Flutter
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%36-%50,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Spor salonu üyeliği / indirimi
Şirket telefonu
Personel servisi
Tamamlayıcı sağlık sigortası
Emeklilik planlama hizmetleri
Tıbbi izin",Türkiye,"34 İstanbul",Hybrid,"10.000 ve üzeri","Fullstack Developer / Engineer",Mid,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Kubernetes
Linux
Microsoft Office Araçları
NoSQL
Python
SQL","Türk Lirası",Net,%11-%20,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,301-600,"SAP Consultant",Junior,"1-3 Yıl",SAP,"Türk Lirası",Net,,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,1-50,"Game Developer / Engineer",Junior,"0-1 Yıl","C# / .NET Framework
ChatGPT","Türk Lirası",Net,,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,601-1.000,"Android Developer",Junior,"0-1 Yıl","ChatGPT
Figma / XD ve diğer tasarım araçları
Flutter
Kotlin","Türk Lirası",Net,%21-%35,"20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Spor salonu üyeliği / indirimi
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Emeklilik planlama hizmetleri
Tıbbi izin",Türkiye,"34 İstanbul",Remote,301-600,DevOps,Junior,"0-1 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
Python","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket telefonu
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,151-300,"Team Lead",Senior,"9-12 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%11-%20,"70.001 TL - 85.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Remote,1-50,"Backend Developer / Engineer",Junior,"0-1 Yıl","NoSQL
PHP
SQL","Türk Lirası",Net,%11-%20,"11.402 TL ve altı"
"Ağu 5, 2023",Erkek,"Hayat sigortası","Yurt dışı",,Remote,1-50,"CTO (Chief Technology Officer)",Senior,"5-9 Yıl","C# / .NET Framework",Euro,Brüt,,"130.001 TL - 160.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi
Hayat sigortası
Emeklilik planlama hizmetleri",Türkiye,"34 İstanbul",Remote,"10.000 ve üzeri","Software Engineer",Mid,"3-5 Yıl","C# / .NET Framework
Figma / XD ve diğer tasarım araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL","Türk Lirası",Brüt,%11-%20,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"06 Ankara",Remote,1-50,"Fullstack Developer / Engineer",Senior,"5-9 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Linux
No-code / Low-code Araçları
NoSQL
Python
SQL","Türk Lirası",Net,"%51 ve üzeri","70.001 TL - 85.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Ofiste,1-50,"Backend Developer / Engineer",Junior,"1-3 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Linux
Python","Türk Lirası",Net,,"20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Tıbbi izin",Türkiye,"34 İstanbul",Remote,1-50,"Frontend Developer / Engineer",Junior,"0-1 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,,"11.402 TL - 15.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1-50,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi
Tamamlayıcı sağlık sigortası",Türkiye,"06 Ankara",Ofiste,151-300,"Fullstack Developer / Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Tamamlayıcı sağlık sigortası","Yurt dışı",,Remote,1-50,"Software Engineer",Mid,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux
NoSQL
Python
Rust
SQL",Dolar,Brüt,,"160.001 TL - 200.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Spor salonu üyeliği / indirimi
Şirket telefonu
Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Tıbbi izin",Türkiye,"06 Ankara",Ofiste,1.000-5.000,"Software Engineer",Junior,"0-1 Yıl","DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler
Kubernetes
Linux
Python
SQL","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
İşsizlik sigortası",Türkiye,"26 Eskişehir",Ofiste,1-50,DevOps,Mid,"1-3 Yıl","C# / .NET Framework
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Flutter
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
NoSQL
SQL","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Tıbbi izin",Türkiye,"34 İstanbul",Remote,1-50,"Backend Developer / Engineer",Mid,"12 Yıl ve üzeri","Linux
PHP
Python
SQL","Türk Lirası",Net,,"11.402 TL - 15.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,51-150,"Data Engineer",Senior,"5-9 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Kubernetes
Linux
Python
SQL","Türk Lirası",Net,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Backend Developer / Engineer",Senior,"5-9 Yıl","C# / .NET Framework","Türk Lirası",Net,"%51 ve üzeri","70.001 TL - 85.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,51-150,"Team Lead",Senior,"9-12 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler
Kubernetes
Linux
NoSQL
Python
SQL","Türk Lirası",Net,%11-%20,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"81 Düzce",Hybrid,1-50,"Data Analyst",Senior,"9-12 Yıl","Microsoft Office Araçları","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"53 Rize",Ofiste,1-50,"Fullstack Developer / Engineer",Senior,"5-9 Yıl","Adobe CC araçları
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Linux
Microsoft Office Araçları
NoSQL
Python
SQL","Türk Lirası",Net,,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Remote,1-50,"Backend Developer / Engineer",Senior,"5-9 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Kubernetes
Linux
Microsoft Office Araçları
NoSQL
SQL","Türk Lirası",Net,%5-%10,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Ofiste,5.000-10.000,Diğer,Mid,"1-3 Yıl",Linux,"Türk Lirası",Net,%5-%10,"18.001 TL - 20.000 TL"
"Ağu 5, 2023",Erkek,"Yol / yakıt yardımı",Türkiye,"34 İstanbul",Remote,1-50,"Software Engineer",Senior,"9-12 Yıl",PHP,"Türk Lirası",Net,%5-%10,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerce dhediye çeki
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
İşsizlik sigortası
İşçi tazminatı
Tıbbi izin",Türkiye,"34 İstanbul",Remote,1-50,"Backend Developer / Engineer",Senior,"9-12 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Python
SQL","Türk Lirası",Brüt,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Tıbbi izin",Türkiye,"35 İzmir",Remote,151-300,"Mobile Developer(Cross Platform)",Senior,"5-9 Yıl","ChatGPT
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1-50,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler
Linux
Python","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,151-300,"Team Lead",Senior,"12 Yıl ve üzeri","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,301-600,"Software Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"70.001 TL - 85.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"41 Kocaeli",Ofiste,1-50,"Research Engineer",Mid,"1-3 Yıl","C# / .NET Framework
No-code / Low-code Araçları","Türk Lirası",Net,%36-%50,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Tamamlayıcı sağlık sigortası
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı",,Remote,1-50,"Backend Developer / Engineer",Mid,"1-3 Yıl",Golang,Dolar,Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası",Türkiye,"34 İstanbul",Remote,151-300,"Backend Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework","Türk Lirası",Brüt,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Kadın,"Yemek kartı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
İşçi tazminatı",Türkiye,"06 Ankara",Remote,1-50,"Android Developer",Junior,"0-1 Yıl",Kotlin,"Türk Lirası",Net,%11-%20,"20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Tıbbi izin",Türkiye,"06 Ankara",Ofiste,1.000-5.000,"Database Administrator",Senior,"12 Yıl ve üzeri","C# / .NET Framework
Linux
NoSQL
Python
SQL","Türk Lirası",Net,"%51 ve üzeri","55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Employee stock options","Yurt dışı",,Remote,1-50,"Software Engineer",Senior,"3-5 Yıl","Golang
Java ve bağlı framework'ler
Python",Dolar,Brüt,,"130.001 TL - 160.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"35 İzmir",Ofiste,601-1.000,"Business Analyst",Junior,"1-3 Yıl","Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Hayat sigortası",Türkiye,"34 İstanbul",Remote,1.000-5.000,DevOps,Mid,"5-9 Yıl","DevOps araçları
Golang
Linux","Türk Lirası",Net,%36-%50,"70.001 TL - 85.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Emeklilik planlama hizmetleri","Yurt dışı","34 İstanbul",Hybrid,"10.000 ve üzeri","Fullstack Developer / Engineer",Mid,"3-5 Yıl","DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Kubernetes
Linux","Türk Lirası",Brüt,%11-%20,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Personel servisi
Erzak yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"16 Bursa",Hybrid,5.000-10.000,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
PHP
SQL","Türk Lirası",Brüt,,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Hayat sigortası",Türkiye,"34 İstanbul",Ofiste,"10.000 ve üzeri","Software Engineer",Senior,"5-9 Yıl","C# / .NET Framework
C, C++
ChatGPT
Python","Türk Lirası",Net,%36-%50,"100.001 TL - 130.000 TL"
"Ağu 5, 2023",Erkek,"Eğitim ödemeleri",Türkiye,"34 İstanbul",Remote,1-50,DevOps,Mid,"3-5 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes",Dolar,Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Özel günlerce dhediye çeki
Şirket aracı
Erzak yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
İşçi tazminatı",Türkiye,"34 İstanbul",Hybrid,1-50,"Blockchain Developer / Engineer",Senior,"9-12 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
SQL","Türk Lirası",Net,%36-%50,"160.001 TL - 200.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
İşçi tazminatı
Tıbbi izin",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Frontend Developer / Engineer",Senior,"9-12 Yıl","ChatGPT
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Golang
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
NoSQL
SQL","Türk Lirası",Net,%36-%50,"100.001 TL - 130.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"06 Ankara",Hybrid,1-50,"Fullstack Developer / Engineer",Mid,"1-3 Yıl","ChatGPT
DevOps araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL","Türk Lirası",Net,%21-%35,"20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Q/A - Test Automation Engineer",Senior,"3-5 Yıl","DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kotlin
Kubernetes
NoSQL
Python
SQL","Türk Lirası",Net,%36-%50,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Tıbbi izin",Türkiye,"06 Ankara",Ofiste,1-50,"Software Engineer",Mid,"3-5 Yıl","C# / .NET Framework
Java ve bağlı framework'ler
SQL","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Ofiste,"10.000 ve üzeri","Fullstack Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework","Türk Lirası",Net,%21-%35,"20.001 TL - 25.000 TL"
"Ağu 5, 2023","Belirtmek İstemiyorum","Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Ofiste,51-150,"Team Lead",Senior,"5-9 Yıl","Flutter
Java ve bağlı framework'ler
SQL","Türk Lirası",Net,"%51 ve üzeri","100.001 TL - 130.000 TL"
"Ağu 5, 2023",Erkek,"Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1-50,"Mobile Developer(Cross Platform)",Junior,"1-3 Yıl","Figma / XD ve diğer tasarım araçları
Flutter
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
NoSQL","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası","Yurt dışı","35 İzmir",Hybrid,51-150,"Backend Developer / Engineer",Mid,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler",Dolar,Net,%5-%10,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,1-50,"Mobile Developer(Cross Platform)",Mid,"5-9 Yıl","Flutter
Kotlin
SAP
Swift","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Kadın,"Yemek kartı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,51-150,"Backend Developer / Engineer",Junior,"0-1 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Linux","Türk Lirası",Net,%21-%35,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Kadın,"Belirli günlerde izin(doğum günü, regl izni gibi)
Tıbbi izin",Türkiye,"07 Antalya",Ofiste,1-50,"Frontend Developer / Engineer",Junior,"0-1 Yıl","Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,,"11.402 TL - 15.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket telefonu
Tamamlayıcı sağlık sigortası","Yurt dışı","34 İstanbul",Hybrid,1.000-5.000,"SAP Consultant",Mid,"3-5 Yıl","ChatGPT
SAP","Türk Lirası",Brüt,,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,51-150,"Backend Developer / Engineer",Junior,"0-1 Yıl","Java ve bağlı framework'ler","Türk Lirası",Net,,"11.402 TL - 15.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,,Remote,601-1.000,"Team Lead",Senior,"9-12 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Brüt,%36-%50,"100.001 TL - 130.000 TL"
"Ağu 5, 2023",Erkek,"Özel günlerce dhediye çeki
Erzak yardımı
Eğitim ödemeleri
Employee stock options","Yurt dışı",,Ofiste,1-50,"Frontend Developer / Engineer",Mid,"3-5 Yıl","Javascript / Typescript ve bağlı framework'ler",Yuan,Brüt,,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Hayat sigortası
İşçi tazminatı",Türkiye,"34 İstanbul",Ofiste,1-50,"Frontend Developer / Engineer",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
